 numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
1.58,4.88,0.0621,0.63,0.66,6.38,9.02,0.92,28.68,0.7,0.57,11.43,2.39,0.17,0.72,0.13,0.03,0.15,1
1.51,4.46,0.1378,0.62,0.52,5.85,8.27,0.88,20.39,0.59,0.63,16.49,2.87,0.17,0.58,0.08,0.01,0.09,1
1.51,4.49,0.0048,0.56,0.57,6.25,8.84,0.9,23.27,0.7,0.8,19.2,3.1,0.18,0.68,0.07,0.01,0.08,1
1.47,4.59,0.0463,0.62,0.53,5.73,8.11,0.88,20.35,0.63,0.71,21.43,3.27,0.21,0.5,0.11,0.03,0.14,1
1.53,4.77,0.0208,0.6,0.55,5.72,8.09,0.89,21.14,0.63,0.74,17.06,2.92,0.18,0.63,0.09,0,0.09,1
1.4,4.21,0.021,0.59,0.56,5.23,7.4,0.89,20.09,0.65,0.48,6.26,1.77,0.13,0.65,0.2,0.01,0.21,1
1.41,4.29,0.0482,0.55,0.47,6.19,8.76,0.87,19.79,0.59,0.61,18.84,3.07,0.16,0.56,0.13,0.01,0.14,1
1.37,4.16,0.07,0.55,0.45,5.75,8.14,0.86,18.31,0.59,0.68,19.12,3.09,0.16,0.55,0.07,0.02,0.08,1
1.49,4.72,0.0421,0.59,0.54,5.9,8.34,0.89,21.12,0.65,0.64,16.03,2.83,0.18,0.64,0.09,0.01,0.1,1
1.54,4.74,0.0306,0.56,0.68,4.97,7.02,0.92,24.31,0.78,0.7,9.8,2.21,0.23,0.81,0.05,0,0.05,1
1.49,4.74,0,0.55,0.71,4.58,6.48,0.92,24.85,0.87,1,13,2.55,0.28,0.81,0.02,0,0.02,1
1.54,4.82,0.0513,0.64,0.76,5.05,7.14,0.94,31.93,0.84,0.73,13.88,2.63,0.34,0.91,0.12,0,0.12,1
1.57,4.8,0.025,0.57,0.75,4.97,7.04,0.94,30.26,0.84,0.93,12.07,2.46,0.26,0.79,0.02,0.04,0.06,1
1.49,4.49,0,0.61,0.57,5.78,8.17,0.89,21.94,0.68,0.51,9.76,2.21,0.15,0.74,0.11,0.02,0.13,1
1.48,4.67,0,0.58,0.6,5.89,8.33,0.9,23.43,0.68,0.77,17.63,2.97,0.2,0.61,0.11,0.05,0.16,1
1.38,4.24,0.0261,0.56,0.58,7.54,10.66,0.91,27.02,0.74,0.5,14,2.65,0.15,0.83,0.11,0.01,0.12,1
1.4,4.29,0.0426,0.55,0.67,4.94,6.99,0.91,23.84,0.77,0.79,11.84,2.43,0.25,0.71,0.1,0.02,0.12,1
1.57,4.8,0.025,0.57,0.75,4.97,7.04,0.94,30.26,0.84,0.93,12.07,2.46,0.26,0.79,0.02,0.04,0.06,1
1.53,4.59,0,0.58,0.62,3.84,5.43,0.89,16.98,0.67,0.58,4.08,1.43,0.16,0.7,0.13,0.02,0.16,1
1.52,4.45,0,0.59,0.54,6.85,9.69,0.89,23.59,0.67,0.7,22.26,3.34,0.17,0.63,0.07,0.02,0.09,1
1.55,4.61,0,0.66,0.69,4.03,5.7,0.91,20.93,0.73,0.7,4.9,1.57,0.16,0.77,0.09,0,0.09,1
1.49,4.59,0.1087,0.58,0.75,5.35,7.56,0.94,32.53,0.86,0.79,8.64,2.08,0.19,0.87,0.08,0.03,0.12,1
1.44,4.33,0.0183,0.56,0.5,5.32,7.52,0.87,18.41,0.62,0.7,19.6,3.13,0.22,0.55,0.06,0.02,0.08,1
1.63,5.28,0,0.6,0.79,3.88,5.48,0.94,27.86,0.9,0.88,6.12,1.75,0.24,0.89,0.03,0.03,0.07,1
1.42,4.43,0,0.52,0.78,4.37,6.17,0.94,29.66,0.91,0.79,8.64,2.08,0.33,1,0.15,0.03,0.18,1
1.5,4.38,0,0.56,0.7,3.66,5.17,0.91,19.67,0.8,0.9,8.1,2.01,0.3,0.72,0.07,0,0.07,1
1.57,4.56,0,0.64,0.59,5.68,8.04,0.9,22.56,0.64,0.44,6.12,1.75,0.12,0.7,0.03,0,0.03,1
1.38,4.44,0.0222,0.55,0.57,5.62,7.95,0.89,21.43,0.67,0.57,9.63,2.19,0.16,0.72,0.07,0.01,0.07,1
1.38,3.96,0.0309,0.53,0.62,4.41,6.24,0.9,19.28,0.81,0.77,7.69,1.96,0.19,0.87,0.13,0.02,0.15,1
1.6,4.97,0,0.62,0.68,4.22,5.96,0.91,21.46,0.77,0.6,3.6,1.34,0.13,0.82,0.09,0,0.09,1
1.36,4.47,0.0177,0.63,0.49,6.03,8.53,0.87,19.75,0.57,0.4,8,2,0.1,0.63,0.13,0.02,0.15,1
1.48,4.72,0,0.7,0.67,3.83,5.42,0.9,18.8,0.67,0.75,6.75,1.84,0.2,0.62,0.04,0,0.04,1
1.55,4.66,0,0.66,0.79,4.65,6.57,0.94,32.5,0.85,0.8,6.4,1.79,0.17,0.83,0.13,0,0.13,1
1.4,4.46,0,0.55,0.62,4.01,5.67,0.89,17.78,0.8,0.92,10.08,2.25,0.24,0.8,0.09,0,0.09,1
1.63,4.84,0.0246,0.63,0.48,5.04,7.13,0.87,17.32,0.54,0.53,11.03,2.35,0.15,0.54,0.04,0,0.04,1
1.42,4.45,0,0.58,0.51,5.78,8.17,0.88,19.84,0.61,0.68,20.45,3.2,0.2,0.55,0.07,0.01,0.08,1
1.41,4.4,0,0.58,0.56,7.39,10.45,0.9,25.5,0.69,0.68,30.68,3.92,0.22,0.65,0.07,0.02,0.1,1
1.42,4.36,0.0146,0.56,0.61,5.19,7.34,0.9,21.55,0.7,0.83,15.7,2.8,0.23,0.65,0.06,0,0.06,1
1.47,4.56,0,0.58,0.64,4.72,6.67,0.91,21.61,0.79,0.65,8.45,2.06,0.21,0.82,0.16,0.05,0.21,1
1.68,4.97,0,0.58,0.68,5.81,8.22,0.92,28.19,0.76,0.84,17.64,2.97,0.25,0.7,0.07,0.04,0.11,1
1.39,4.34,0,0.54,0.6,4.3,6.08,0.89,18.11,0.71,0.87,11.27,2.37,0.23,0.62,0.07,0,0.07,1
1.43,4.39,0.1111,0.57,0.59,3.62,5.11,0.88,15.48,0.69,0.67,4,1.41,0.14,0.71,0.07,0,0.07,1
1.59,4.76,0.005,0.63,0.48,4.99,7.06,0.86,17.18,0.55,0.46,8.8,2.1,0.14,0.54,0.1,0.01,0.1,1
1.46,4.72,0.0149,0.58,0.53,4.48,6.33,0.87,16.78,0.61,0.73,16.13,2.84,0.26,0.46,0.12,0.01,0.13,1
1.39,4.18,0.0144,0.6,0.48,5.72,8.09,0.87,18.81,0.56,0.63,18.28,3.02,0.17,0.47,0.1,0.02,0.12,1
1.37,4.25,0.0261,0.55,0.62,5.67,8.02,0.91,24.03,0.78,0.57,11.43,2.39,0.22,0.9,0.08,0.06,0.13,1
1.45,4.3,0.0538,0.56,0.54,6.5,9.19,0.89,22.55,0.65,0.58,19.59,3.13,0.21,0.72,0.08,0.04,0.12,1
1.56,4.88,0.0455,0.61,0.75,5.71,8.08,0.94,34.11,0.77,0.79,11.84,2.43,0.21,0.77,0.07,0.03,0.1,1
1.33,4.02,0,0.58,0.49,5.53,7.83,0.87,18.8,0.56,0.41,7.36,1.92,0.12,0.62,0.1,0.03,0.13,1
1.36,4.65,0.0365,0.55,0.55,4.72,6.68,0.88,18.15,0.64,0.5,10,2.24,0.25,0.82,0.09,0,0.09,1
1.61,4.98,0,0.63,0.68,4.81,6.8,0.92,23.88,0.78,0.75,6.75,1.84,0.14,0.77,0.05,0,0.05,1
1.47,4.79,0.1053,0.6,0.68,3.02,4.27,0.89,15.04,0.75,1,3,1.22,0.12,0.79,0.12,0.08,0.21,1
1.53,4.78,0,0.57,0.82,5.85,8.28,0.96,45.75,0.9,0.85,14.45,2.69,0.29,0.9,0.08,0.05,0.14,1
1.38,4.32,0,0.55,0.68,5.7,8.06,0.92,27.78,0.82,0.95,19.05,3.09,0.26,0.76,0.08,0.04,0.12,1
1.52,4.65,0.0077,0.61,0.54,6.46,9.14,0.89,22.64,0.67,0.6,16.68,2.89,0.16,0.69,0.12,0,0.12,1
1.53,4.85,0.0255,0.59,0.59,6.25,8.84,0.9,24.22,0.64,0.78,24.02,3.47,0.23,0.58,0.07,0.01,0.08,1
1.44,4.32,0.0138,0.59,0.56,6.2,8.77,0.9,22.74,0.69,0.62,20.55,3.21,0.23,0.75,0.1,0.01,0.1,1
1.62,4.79,0.1039,0.56,0.62,4.01,5.67,0.89,17.78,0.68,0.64,4.45,1.49,0.15,0.68,0.11,0.02,0.13,1
1.52,4.01,0,0.53,0.64,4.77,6.74,0.91,21.56,0.78,0.62,8.05,2.01,0.22,0.84,0.08,0.02,0.1,1
1.32,4.03,0.1485,0.49,0.55,4.31,6.09,0.88,16.9,0.66,0.82,7.36,1.92,0.15,0.63,0.07,0,0.07,1
1.47,4.26,0,0.54,0.68,5.16,7.3,0.92,25.08,0.83,0.84,13.47,2.6,0.25,0.78,0.1,0.02,0.11,1
1.44,4.56,0,0.58,0.69,3.77,5.34,0.91,19.84,0.76,0.75,4.5,1.5,0.18,0.81,0.06,0.03,0.09,1
1.51,4.25,0.1268,0.57,0.76,4.77,6.75,0.94,30.14,0.82,0.78,5.44,1.65,0.16,0.81,0.07,0.04,0.11,1
1.27,4.1,0.0221,0.53,0.41,3.55,5.01,0.82,12.24,0.55,0.61,8.52,2.06,0.18,0.5,0.06,0.01,0.08,1
1.38,4.17,0.0192,0.54,0.59,4.48,6.34,0.89,18.61,0.68,0.67,6.67,1.83,0.16,0.65,0.06,0,0.06,1
1.55,4.66,0.13,0.61,0.57,4.26,6.02,0.88,17.07,0.61,0.57,7.35,1.92,0.19,0.61,0.09,0.01,0.1,1
1.5,4.65,0.0245,0.59,0.57,6.08,8.6,0.9,22.9,0.69,0.72,22.35,3.34,0.23,0.68,0.11,0,0.11,1
1.42,4.54,0.0321,0.6,0.58,5.23,7.4,0.89,20.51,0.66,0.78,14.09,2.65,0.18,0.6,0.06,0.02,0.08,1
1.45,4.3,0.0241,0.59,0.63,4.28,6.05,0.9,19.25,0.72,0.88,12.25,2.47,0.26,0.69,0.04,0.06,0.09,1
1.53,4.31,0,0.56,0.88,3.5,4.95,0.96,39.07,0.94,0.8,3.2,1.26,0.22,1,0.06,0,0.06,1
1.46,4.51,0.0069,0.63,0.58,5.26,7.44,0.89,20.87,0.63,0.67,12,2.45,0.18,0.53,0.1,0.03,0.13,1
1.49,4.48,0.0543,0.61,0.64,4.53,6.4,0.9,20.64,0.77,0.74,10.32,2.27,0.23,0.74,0.1,0.02,0.11,1
1.44,4.44,0.0128,0.57,0.61,5.8,8.21,0.9,23.57,0.72,0.62,12.97,2.55,0.2,0.86,0.12,0,0.12,1
1.42,4.57,0.042,0.65,0.56,4.53,6.4,0.88,17.83,0.61,0.61,11.65,2.41,0.23,0.57,0.07,0,0.07,1
1.52,4.52,0,0.6,0.56,5.28,7.46,0.89,20.18,0.59,0.73,13.88,2.63,0.18,0.51,0.05,0.02,0.07,1
1.55,4.77,0.1402,0.55,0.59,5.66,8.01,0.9,22.54,0.7,0.58,10.45,2.29,0.18,0.72,0.11,0.04,0.15,1
1.42,4.37,0,0.55,0.52,6.38,9.02,0.89,21.69,0.64,0.63,24.07,3.47,0.23,0.65,0.08,0.02,0.1,1
1.41,4.56,0.0207,0.69,0.55,6.44,9.11,0.89,23.04,0.59,0.55,12.6,2.51,0.12,0.61,0.15,0.02,0.17,1
1.67,4.92,0.0086,0.54,0.59,4.65,6.58,0.89,19.28,0.75,0.56,5.06,1.59,0.13,0.76,0.13,0.01,0.15,1
1.52,4.74,0,0.57,0.63,4.74,6.71,0.9,21.21,0.75,0.67,8,2,0.19,0.74,0.12,0.05,0.17,1
1.35,4.4,0,0.6,0.67,5.4,7.63,0.92,25.62,0.77,0.79,18.24,3.02,0.29,0.71,0.09,0,0.09,1
1.53,4.47,0,0.58,0.65,3.33,4.71,0.89,15.96,0.8,0.5,1.5,0.87,0.1,0.85,0.13,0,0.13,1
1.45,4.41,0,0.61,0.62,6.43,9.09,0.91,26.29,0.68,0.67,16,2.83,0.18,0.61,0.11,0.03,0.14,1
1.57,4.67,0.0348,0.6,0.69,5.54,7.84,0.92,27.63,0.87,0.93,13.07,2.56,0.18,0.83,0.17,0.03,0.19,1
1.34,4.19,0,0.54,0.65,5.27,7.46,0.91,23.82,0.75,0.88,19.36,3.11,0.31,0.67,0.01,0.04,0.06,1
1.44,4.15,0.0294,0.6,0.54,6.55,9.26,0.89,22.89,0.69,0.61,23.29,3.41,0.22,0.73,0.05,0.01,0.05,1
1.39,4.39,0,0.62,0.5,4.32,6.1,0.86,15.62,0.53,0.5,7,1.87,0.15,0.47,0.13,0,0.13,1
1.48,4.68,0.0442,0.61,0.69,5.52,7.81,0.92,27.78,0.83,0.92,22.15,3.33,0.31,0.79,0.08,0.01,0.09,1
1.51,4.85,0.0755,0.6,0.82,4.29,6.07,0.95,34.75,0.94,0.89,7.11,1.89,0.24,0.95,0.09,0.03,0.12,1
1.49,4.53,0.0067,0.56,0.62,5.73,8.11,0.91,24.01,0.8,0.48,6.26,1.77,0.14,0.94,0.05,0,0.05,1
1.34,4.03,0.1642,0.58,0.58,3.48,4.92,0.87,14.46,0.74,0.73,5.82,1.71,0.19,0.69,0.1,0.02,0.12,1
1.44,4.69,0.0101,0.57,0.58,6.18,8.74,0.9,23.42,0.68,0.59,14.05,2.65,0.18,0.69,0.11,0.02,0.12,1
1.62,4.91,0.0342,0.64,0.74,5.88,8.32,0.94,34.24,0.85,0.86,15.43,2.78,0.23,0.8,0.15,0.03,0.17,1
1.51,4.7,0,0.6,0.75,5.2,7.35,0.94,31.45,0.83,0.82,7.36,1.92,0.16,0.81,0.16,0.02,0.17,1
1.46,4.66,0.1339,0.63,0.66,5.06,7.15,0.91,23.48,0.71,0.73,8.07,2.01,0.15,0.69,0.04,0.03,0.07,1
1.38,4.37,0.0187,0.59,0.45,5.45,7.71,0.86,17.62,0.54,0.47,7.03,1.88,0.09,0.52,0.14,0.02,0.16,1
1.51,4.85,0,0.63,0.68,4.97,7.02,0.92,24.31,0.79,0.75,11.25,2.37,0.22,0.8,0.09,0,0.09,1
1.34,4.37,0.0163,0.59,0.55,7.18,10.15,0.9,24.85,0.69,0.55,15.37,2.77,0.14,0.68,0.16,0.02,0.17,1
1.42,4.68,0.0171,0.59,0.53,5.86,8.29,0.88,20.64,0.61,0.62,17.42,2.95,0.19,0.58,0.06,0.03,0.09,1
1.48,4.49,0.0338,0.58,0.57,6.56,9.28,0.9,24.04,0.68,0.5,11.5,2.4,0.15,0.8,0.06,0.01,0.07,1
1.45,4.05,0,0.54,0.6,3.52,4.97,0.88,15.28,0.68,0.9,8.1,2.01,0.24,0.6,0.05,0,0.05,1
1.4,4.47,0,0.61,0.64,4.11,5.82,0.9,18.91,0.71,0.64,5.79,1.7,0.18,0.75,0.16,0.02,0.18,1
1.52,4.37,0.0431,0.6,0.68,5.4,7.63,0.92,26.14,0.79,0.95,19.05,3.09,0.26,0.7,0.09,0,0.09,1
1.4,4.44,0.0293,0.57,0.52,5.95,8.42,0.88,20.63,0.62,0.75,24.75,3.52,0.22,0.58,0.06,0.01,0.07,1
1.56,5.03,0.0984,0.63,0.7,4.06,5.74,0.92,21.66,0.76,0.9,8.1,2.01,0.21,0.71,0.1,0,0.1,1
1.44,4.53,0,0.62,0.84,4.01,5.66,0.96,37.22,0.93,1,5,1.58,0.18,0.94,0.14,0,0.14,1
1.57,4.69,0,0.59,0.57,6.41,9.06,0.9,23.84,0.68,0.71,19.18,3.1,0.18,0.61,0.1,0.02,0.12,1
1.58,4.68,0,0.54,0.78,5,7.07,0.94,34.03,0.82,0.82,7.36,1.92,0.2,0.86,0.09,0,0.09,1
1.5,4.66,0,0.6,0.46,5.23,7.39,0.86,17.31,0.49,0.63,12.03,2.45,0.12,0.42,0.07,0.01,0.08,1
1.38,4.33,0.0192,0.58,0.54,5.69,8.05,0.89,20.61,0.6,0.63,13.83,2.63,0.17,0.61,0.07,0.02,0.09,1
1.44,4.45,0.0333,0.57,0.65,5.29,7.49,0.91,24.17,0.71,0.71,10.71,2.31,0.2,0.74,0.12,0,0.12,1
1.49,4.61,0,0.66,0.57,6.22,8.8,0.9,23.1,0.65,0.58,12.74,2.52,0.14,0.69,0.11,0.01,0.13,1
1.39,4.19,0,0.6,0.52,5.13,7.25,0.87,18.31,0.55,0.47,8.53,2.06,0.15,0.56,0.1,0,0.1,1
1.44,4.35,0.0714,0.51,0.66,4.64,6.57,0.91,22.24,0.82,0.73,5.82,1.71,0.16,0.83,0.06,0.02,0.08,1
1.4,4.32,0,0.6,0.57,6.34,8.97,0.9,23.51,0.67,0.76,26.63,3.65,0.23,0.59,0.1,0.02,0.12,1
1.39,4.4,0,0.64,0.67,5.75,8.14,0.92,26.97,0.75,0.61,11.65,2.41,0.2,0.78,0.11,0.03,0.14,1
1.36,4.23,0.102,0.58,0.64,4.65,6.57,0.9,20.92,0.79,0.93,12.07,2.46,0.21,0.74,0.06,0.03,0.1,1
1.5,4.65,0.0916,0.54,0.49,6.14,8.68,0.88,20.08,0.6,0.52,16.79,2.9,0.19,0.59,0.08,0.04,0.11,1
1.35,4.06,0.032,0.55,0.46,5.05,7.14,0.86,16.79,0.55,0.6,17.52,2.96,0.22,0.49,0.06,0.01,0.07,1
1.38,4.68,0.0094,0.63,0.58,6.34,8.96,0.9,24.01,0.69,0.71,20.51,3.2,0.19,0.63,0.14,0.01,0.15,1
1.43,4.7,0,0.61,0.67,4.37,6.18,0.91,21.45,0.69,0.84,13.47,2.6,0.31,0.65,0.02,0,0.02,1
1.26,3.92,0.0219,0.55,0.53,5.79,8.18,0.88,20.55,0.67,0.73,21.95,3.31,0.23,0.61,0.08,0.02,0.09,1
1.26,4.5,0,0.54,0.42,3.92,5.55,0.83,13.37,0.54,0.56,5.06,1.59,0.1,0.51,0.08,0,0.08,1
1.44,4.38,0.0588,0.55,0.75,4.62,6.54,0.93,28.31,0.93,0.89,7.11,1.89,0.19,0.91,0.14,0.1,0.24,1
1.44,4.39,0.0123,0.6,0.61,7.02,9.93,0.91,27.3,0.72,0.68,26.68,3.65,0.25,0.72,0.11,0,0.11,1
1.37,4.25,0,0.5,0.61,5.99,8.47,0.91,24.45,0.77,0.85,18.62,3.05,0.23,0.72,0.05,0.03,0.08,1
1.37,4.17,0.0217,0.63,0.58,6.06,8.57,0.9,23.28,0.72,0.56,12.9,2.54,0.17,0.79,0.14,0.06,0.2,1
1.52,4.61,0.0377,0.65,0.71,5.35,7.56,0.93,28.74,0.81,0.62,8.05,2.01,0.18,0.87,0.07,0.01,0.08,1
1.43,4.19,0,0.58,0.95,4.13,5.84,0.99,106.29,1,1,8,2,0.36,1,0.09,0,0.09,1
1.43,4.68,0.1622,0.51,0.84,3.6,5.1,0.95,32,0.89,0.8,3.2,1.26,0.21,1,0,0,0,1
1.48,4.55,0,0.63,0.74,4.54,6.42,0.93,26.67,0.79,0.78,14.09,2.65,0.38,0.76,0.04,0.04,0.08,1
1.61,4.92,0,0.63,0.76,3.86,5.46,0.93,25.03,0.75,0.62,3.12,1.25,0.16,0.76,0.09,0,0.09,1
1.35,4.35,0,0.58,0.67,4.06,5.74,0.91,20.05,0.76,0.77,7.69,1.96,0.24,0.76,0.1,0,0.1,1
1.42,4.28,0.0456,0.55,0.55,6.29,8.9,0.89,22.5,0.69,0.55,12.6,2.51,0.16,0.75,0.1,0.01,0.1,1
1.35,4.18,0.0826,0.54,0.42,3.34,4.72,0.82,11.73,0.56,0.54,3.77,1.37,0.1,0.56,0.06,0,0.06,1
1.36,4.35,0.0347,0.54,0.59,5.21,7.37,0.9,20.97,0.69,0.71,14.29,2.67,0.24,0.66,0.07,0.01,0.08,1
1.47,4.46,0.0051,0.58,0.58,6.07,8.59,0.9,23.02,0.69,0.57,11.43,2.39,0.16,0.68,0.1,0.04,0.14,1
1.38,4.27,0.0279,0.59,0.6,5.91,8.36,0.9,23.45,0.75,0.67,14.67,2.71,0.19,0.79,0.05,0.04,0.09,1
1.83,5.26,0.0093,0.76,0.51,4.08,5.77,0.86,15.22,0.52,0.43,5.14,1.6,0.12,0.57,0.12,0,0.12,1
1.38,4.26,0.0696,0.51,0.69,5.48,7.75,0.92,27.43,0.84,0.94,15.06,2.74,0.25,0.81,0.06,0.06,0.12,1
1.41,4.15,0.0612,0.63,0.66,4.81,6.8,0.91,22.76,0.72,0.57,6.86,1.85,0.18,0.72,0.09,0.06,0.15,1
1.5,4.39,0,0.65,0.65,5.15,7.28,0.91,23.3,0.71,0.62,8.05,2.01,0.16,0.71,0.15,0.06,0.21,1
1.51,4.69,0.0511,0.63,0.56,6.33,8.95,0.89,22.84,0.68,0.66,23.11,3.4,0.22,0.68,0.06,0.01,0.07,1
1.36,4.57,0,0.65,0.68,4.9,6.93,0.92,24.04,0.72,0.81,13.76,2.62,0.25,0.72,0.03,0.01,0.04,1
1.53,4.47,0,0.62,0.48,5.03,7.11,0.86,17.24,0.56,0.22,1.73,0.93,0.06,0.62,0.13,0.01,0.13,1
1.48,4.42,0.0247,0.59,0.57,6.74,9.54,0.9,24.62,0.66,0.64,20.48,3.2,0.2,0.62,0.1,0.01,0.11,1
1.36,4.2,0,0.55,0.55,3.16,4.47,0.86,12.81,0.69,0.7,4.9,1.57,0.19,0.71,0.06,0,0.06,1
1.61,4.7,0.0575,0.62,0.75,5.13,7.26,0.94,31.41,0.86,0.81,10.56,2.3,0.22,0.89,0.07,0.03,0.1,1
1.56,4.81,0,0.6,0.55,6.37,9.01,0.89,22.83,0.61,0.52,15.02,2.74,0.18,0.65,0.07,0,0.07,1
1.57,4.83,0.0513,0.62,0.62,5.81,8.21,0.91,24.48,0.69,0.72,15.21,2.76,0.2,0.66,0.08,0.01,0.09,1
1.55,4.62,0,0.61,0.66,5.31,7.51,0.92,24.98,0.79,0.74,12.57,2.51,0.22,0.81,0.08,0.03,0.1,1
1.3,4.24,0.0115,0.51,0.53,5.19,7.35,0.88,19.04,0.71,0.73,13.88,2.63,0.2,0.71,0.11,0.02,0.14,1
1.38,4.18,0,0.52,0.67,3.74,5.29,0.9,18.39,0.82,0.89,7.11,1.89,0.24,0.74,0.12,0.03,0.15,1
1.34,4.2,0.0338,0.55,0.48,7.14,10.09,0.88,22.12,0.6,0.79,39.68,4.45,0.21,0.51,0.03,0.03,0.06,1
1.3,4.49,0.0098,0.57,0.6,6.24,8.82,0.91,24.71,0.73,0.76,23.44,3.42,0.26,0.75,0.11,0.02,0.13,1
1.56,4.98,0,0.63,0.82,4.47,6.33,0.95,35.95,0.89,1,6,1.73,0.16,0.9,0.05,0,0.05,1
1.64,5.07,0.0172,0.6,0.78,4.37,6.17,0.94,29.66,0.89,0.86,5.14,1.6,0.16,0.9,0.03,0.03,0.05,1
1.45,4.7,0.0447,0.59,0.63,6.25,8.83,0.91,26.19,0.76,0.72,15.21,2.76,0.18,0.81,0.08,0.02,0.09,1
1.46,4.33,0,0.6,0.61,4.13,5.84,0.89,17.89,0.71,0.78,10.89,2.33,0.25,0.65,0.05,0,0.05,1
1.45,4.38,0.0357,0.59,0.71,5.55,7.84,0.93,29.04,0.78,0.86,15.43,2.78,0.25,0.75,0.07,0.01,0.08,1
1.38,4.8,0,0.59,0.64,4.09,5.78,0.9,18.92,0.73,0.67,4,1.41,0.12,0.68,0.15,0.02,0.17,1
1.53,4.65,0.0128,0.63,0.59,3.74,5.29,0.88,15.97,0.68,0.57,4.57,1.51,0.16,0.71,0.08,0.02,0.1,1
1.48,4.88,0,0.6,0.53,6.04,8.55,0.89,21.26,0.64,0.69,26.25,3.62,0.25,0.56,0.05,0.03,0.08,1
1.45,4.51,0.0329,0.61,0.69,6.31,8.92,0.93,30.37,0.83,0.86,25.71,3.59,0.29,0.82,0.11,0.02,0.13,1
1.3,4.5,0,0.58,0.72,5.39,7.62,0.93,29.15,0.71,0.7,11.13,2.36,0.24,0.72,0.06,0.03,0.09,1
1.44,4.51,0.0556,0.59,0.73,4.39,6.2,0.93,24.97,0.79,0.85,9.31,2.16,0.26,0.72,0.09,0.02,0.12,1
1.38,4.47,0.0733,0.57,0.52,6.12,8.65,0.88,21,0.62,0.57,17.8,2.98,0.19,0.6,0.09,0.03,0.11,1
1.51,4.8,0.0543,0.61,0.61,4.26,6.03,0.89,18.31,0.67,0.71,10.71,2.31,0.25,0.6,0.05,0.02,0.07,1
1.34,4.24,0,0.64,0.52,4.16,5.88,0.87,15.71,0.56,0.5,5,1.58,0.12,0.62,0.07,0.01,0.09,1
1.55,4.78,0.022,0.63,0.63,4.38,6.19,0.9,19.6,0.75,0.64,5.79,1.7,0.15,0.78,0.08,0.02,0.1,1
1.51,4.77,0,0.63,0.81,5.5,7.78,0.95,41.48,0.83,0.84,13.47,2.6,0.27,0.82,0.05,0.03,0.08,1
1.56,4.63,0.028,0.66,0.64,4.9,6.93,0.91,22.15,0.74,0.8,9.6,2.19,0.16,0.7,0.09,0.01,0.1,2
1.53,4.55,0,0.51,0.58,4.57,6.47,0.89,18.56,0.65,0.71,8.47,2.06,0.19,0.6,0.06,0,0.06,2
1.47,4.4,0.0419,0.55,0.61,6.66,9.42,0.91,26.25,0.69,0.62,17.42,2.95,0.21,0.68,0.1,0.02,0.12,2
1.53,4.54,0.0069,0.56,0.51,6.42,9.08,0.88,21.38,0.63,0.59,15.85,2.81,0.15,0.6,0.11,0.02,0.13,2
1.38,4.56,0,0.64,0.78,5.2,7.36,0.95,35.79,0.84,0.75,9,2.12,0.21,0.87,0.11,0.04,0.14,2
1.77,5.19,0.0088,0.59,0.62,5,7.07,0.9,21.75,0.65,0.67,6.67,1.83,0.13,0.69,0.08,0,0.08,2
1.55,4.64,0.0602,0.57,0.78,5.35,7.57,0.95,36.85,0.79,0.83,12.5,2.5,0.28,0.75,0.08,0.04,0.11,2
1.58,4.53,0.0153,0.56,0.7,5.99,8.47,0.93,29.92,0.8,0.8,19.2,3.1,0.29,0.78,0.07,0.01,0.08,2
1.44,4.68,0.115,0.57,0.74,5.9,8.34,0.94,33.87,0.85,0.79,11.84,2.43,0.21,0.86,0.14,0.01,0.15,2
1.88,5.56,0,0.67,0.91,4.32,6.11,0.98,67.6,0.97,0.89,7.11,1.89,0.27,1,0.07,0,0.07,2
1.43,4.4,0.038,0.59,0.54,6.15,8.7,0.89,21.8,0.62,0.62,19.69,3.14,0.21,0.59,0.09,0.01,0.1,2
1.42,4.76,0.076,0.6,0.54,7.21,10.19,0.9,24.36,0.67,0.7,26.74,3.66,0.18,0.71,0.08,0.01,0.09,2
1.68,4.75,0,0.51,0.63,4.95,7,0.9,21.77,0.83,0.8,12.8,2.53,0.25,0.81,0.06,0.05,0.11,2
1.59,4.78,0.0441,0.56,0.79,5.09,7.2,0.95,35.35,0.91,0.92,10.08,2.25,0.23,0.93,0.06,0.04,0.11,2
1.7,5.02,0,0.62,0.76,3.8,5.37,0.93,24.22,0.9,1,8,2,0.26,0.9,0.03,0.03,0.06,2
1.31,4.05,0,0.47,0.84,3.88,5.49,0.95,34.58,0.9,0.67,2.67,1.15,0.2,1,0.1,0.05,0.15,2
1.87,5.83,0,0.8,0.92,3.25,4.6,0.97,53.97,1,1,1,0.71,0.05,1,0,0,0,2
1.5,4.63,0,0.57,0.71,5.65,7.99,0.93,29.59,0.78,0.87,11.27,2.37,0.18,0.73,0.11,0.01,0.12,2
1.7,5.18,0,0.57,0.59,4.88,6.9,0.89,19.79,0.64,0.88,13.24,2.57,0.19,0.54,0.06,0,0.06,2
1.48,4.44,0.007,0.55,0.69,6.11,8.64,0.93,29.55,0.8,0.89,22.32,3.34,0.28,0.74,0.07,0.02,0.09,2
