W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen, numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
773,75,126,99,73,24,21,15,80,10.3067,10.589,7.8081,1.32,1.726,1.3562,0.2424,0.3288,0.9733,0.2877,0.2055,0.1515,1.0959,0.8081,3.58,1.65,0.93,1.72,1.78,1,1.31,3.99,0.014,0.53,0.35,6.98,9.88,0.84,18.52,0.49,0.5,33.25,4.08,0.16,0.45,0.08,0.02,0.1,1
95,8,14,10,8,2,2,2,13,11.875,11.875,9.5,1.25,1.75,1.25,0.2,0.25,1,0.25,0.25,0.2,1.625,1.3,4.57,1.86,1,1.91,1.31,1,1.58,4.86,0,0.61,0.77,5.38,7.62,0.94,35.33,0.9,1,17,2.92,0.29,0.89,0.08,0,0.08,1
157,11,21,18,11,6,5,1,19,14.2727,14.2727,8.7222,1.6364,1.9091,1.6364,0.3333,0.5455,1,0.4545,0.0909,0.0556,1.7273,1.0556,4.91,2.18,1.82,1.93,1.5,1,1.46,4.44,0.034,0.58,0.61,5.42,7.66,0.9,22.57,0.74,0.75,13.5,2.6,0.2,0.69,0.1,0.04,0.14,1
75,8,13,12,8,4,4,1,8,9.375,9.375,6.25,1.5,1.625,1.5,0.3333,0.5,1,0.5,0.125,0.0833,1,0.6667,2.63,1.63,0.88,1.76,1.38,1,1.33,4.41,0.1857,0.56,0.73,4.49,6.35,0.93,26.1,0.81,0.75,6.75,1.84,0.21,0.79,0.14,0,0.14,1
137,18,18,19,18,1,1,2,14,7.6111,7.6111,7.2105,1.0556,1,1.0556,0.0526,0.0556,1,0.0556,0.1111,0.1053,0.7778,0.7368,2.83,1.22,0.44,1.88,1.36,1,1.46,4.38,0.0403,0.56,0.62,5.14,7.26,0.9,22.02,0.68,0.65,9.78,2.21,0.19,0.68,0.09,0.03,0.12,1
52,6,11,7,6,1,1,1,6,8.6667,8.6667,7.4286,1.1667,1.8333,1.1667,0.1429,0.1667,1,0.1667,0.1667,0.1429,1,0.8571,2.5,2,0.5,2.07,1.42,1,1.77,5.12,0,0.63,0.77,3.92,5.55,0.93,25.84,0.79,0.6,5.4,1.64,0.27,0.94,0.03,0,0.03,1
345,30,53,42,30,12,11,7,33,11.5,11.5,8.2143,1.4,1.7667,1.4,0.2857,0.4,1,0.3667,0.2333,0.1667,1.1,0.7857,4,1.97,1.03,1.92,1.63,1,1.6,4.89,0.0472,0.6,0.55,7.27,10.28,0.9,25.08,0.66,0.78,46.75,4.83,0.29,0.56,0.07,0.02,0.09,1
64,7,7,6,7,0,0,3,5,9.1429,9.1429,10.6667,0.8571,1,0.8571,0,0,1,0,0.4286,0.5,0.7143,0.8333,2.57,1.14,0.86,2,1.25,1,1.64,5.02,0.0755,0.59,0.81,4.6,6.5,0.95,36.18,0.87,0.78,5.44,1.65,0.18,0.88,0.05,0.03,0.08,1
130,14,17,13,13,2,1,5,11,9.2857,10,10,0.9286,1.3077,1,0.1538,0.1538,0.9286,0.0769,0.3846,0.3846,0.8462,0.8462,3.07,1.64,0.86,1.93,1.35,1,1.39,4.29,0.0769,0.58,0.64,5.15,7.28,0.91,22.93,0.79,0.74,10.32,2.27,0.19,0.76,0.15,0.03,0.17,1
222,27,44,32,27,5,5,5,11,8.2222,8.2222,6.9375,1.1852,1.6296,1.1852,0.1562,0.1852,1,0.1852,0.1852,0.1562,0.4074,0.3438,2.77,1.46,0.65,1.54,1.79,1,1.47,4.38,0.024,0.57,0.58,6.19,8.75,0.9,23.71,0.66,0.67,21.33,3.27,0.25,0.64,0.07,0.02,0.09,1
178,18,26,21,18,3,3,4,15,9.8889,9.8889,8.4762,1.1667,1.4444,1.1667,0.1429,0.1667,1,0.1667,0.2222,0.1905,0.8333,0.7143,3.11,1.39,1.06,1.84,1.88,1,1.37,4.18,0,0.57,0.54,5.14,7.27,0.88,19.21,0.63,0.6,10.8,2.32,0.18,0.6,0.12,0,0.12,1
17,2,3,3,2,1,1,1,3,8.5,8.5,5.6667,1.5,1.5,1.5,0.3333,0.5,1,0.5,0.5,0.3333,1.5,1,2,1,0.5,2.25,1,1,1.88,5.25,0,0.71,1,2.92,4.12,1,0,1,1,3,1.22,0.25,1,0.08,0,0.08,1
146,16,26,20,16,4,4,4,11,9.125,9.125,7.3,1.25,1.625,1.25,0.2,0.25,1,0.25,0.25,0.2,0.6875,0.55,2.56,1.31,0.5,1.83,1.81,1,1.41,4.38,0,0.63,0.64,5.5,7.78,0.91,24.5,0.68,0.62,12.5,2.5,0.22,0.66,0.08,0.03,0.11,1
310,27,39,33,27,8,8,8,35,11.4815,11.4815,9.3939,1.2222,1.4444,1.2222,0.2424,0.2963,1,0.2963,0.2963,0.2424,1.2963,1.0606,3.59,1.63,0.96,2.13,1.66,1,1.53,4.69,0.0143,0.63,0.53,6.59,9.31,0.89,22.45,0.61,0.62,20.55,3.21,0.17,0.57,0.12,0.03,0.15,1
115,12,18,13,12,1,1,4,12,9.5833,9.5833,8.8462,1.0833,1.5,1.0833,0.0769,0.0833,1,0.0833,0.3333,0.3077,1,0.9231,3.55,1.64,0.82,1.92,1.44,1,1.53,4.91,0.0377,0.68,0.68,5.16,7.3,0.92,25.08,0.74,0.73,11.64,2.41,0.2,0.73,0.06,0,0.06,1
264,21,33,26,22,5,4,4,26,12.5714,12,10.1538,1.2381,1.5,1.1818,0.1923,0.2273,1.0476,0.1818,0.1818,0.1538,1.1818,1,3.83,1.48,1.3,1.97,1.41,1,1.39,4.33,0.1379,0.61,0.57,6.55,9.26,0.9,23.91,0.66,0.78,24.98,3.53,0.2,0.6,0.08,0.02,0.1,1
196,22,32,28,24,3,4,3,18,8.9091,8.1667,7,1.2727,1.3333,1.1667,0.1071,0.125,1.0909,0.1667,0.125,0.1071,0.75,0.6429,3.29,1.71,0.67,1.75,1.42,1,1.45,4.66,0.0219,0.61,0.6,6,8.49,0.9,23.87,0.68,0.64,16.03,2.83,0.2,0.69,0.1,0.02,0.11,1
251,24,36,31,24,6,6,5,29,10.4583,10.4583,8.0968,1.2917,1.5,1.2917,0.1935,0.25,1,0.25,0.2083,0.1613,1.2083,0.9355,3,1.48,1.08,1.95,1.51,1,1.49,4.44,0.039,0.59,0.58,6.53,9.24,0.9,24.49,0.72,0.6,14.88,2.73,0.17,0.81,0.07,0.01,0.09,1
177,19,26,21,19,2,2,4,20,9.3158,9.3158,8.4286,1.1053,1.3684,1.1053,0.0952,0.1053,1,0.1053,0.2105,0.1905,1.0526,0.9524,2.75,1.3,1.05,1.95,1.35,1,1.39,4.42,0.0435,0.67,0.61,5.74,8.12,0.9,23.55,0.68,0.69,15.12,2.75,0.18,0.65,0.13,0.02,0.14,1
126,17,23,19,17,2,2,2,12,7.4118,7.4118,6.6316,1.1176,1.3529,1.1176,0.1053,0.1176,1,0.1176,0.1176,0.1053,0.7059,0.6316,2.59,1.41,0.65,1.52,1.58,1,1.53,5.03,0,0.64,0.67,5.29,7.48,0.92,25.05,0.7,0.73,13.88,2.63,0.23,0.68,0.05,0.05,0.1,1
117,11,15,13,11,2,2,5,13,10.6364,10.6364,9,1.1818,1.3636,1.1818,0.1538,0.1818,1,0.1818,0.4545,0.3846,1.1818,1,3.55,1.64,1.18,1.87,1.56,1.15,1.49,4.24,0,0.61,0.68,5.25,7.43,0.92,25.79,0.79,0.78,14.09,2.65,0.25,0.79,0.07,0.01,0.08,1
88,10,11,10,9,1,1,1,8,8.8,9.7778,8.8,1,1.2222,1.1111,0.1,0.1111,0.9,0.1111,0.1111,0.1,0.8889,0.8,2.67,1.33,0.67,2.38,1.08,1,1.71,5.04,0.0137,0.62,0.57,3.77,5.33,0.87,15.4,0.67,0.54,3.77,1.37,0.13,0.71,0.02,0,0.02,1
47,5,8,7,5,2,2,1,4,9.4,9.4,6.7143,1.4,1.6,1.4,0.2857,0.4,1,0.4,0.2,0.1429,0.8,0.5714,3.2,1.4,0.8,1.75,1.29,1,1.45,4.64,0,0.6,0.79,3.82,5.4,0.94,26.91,0.86,0.7,4.9,1.57,0.25,0.93,0.07,0.04,0.11,1
265,26,40,33,26,7,7,11,33,10.1923,10.1923,8.0303,1.2692,1.5385,1.2692,0.2121,0.2692,1,0.2692,0.4231,0.3333,1.2692,1,3.46,1.73,1.08,1.79,1.36,1,1.35,4.6,0,0.63,0.46,5.3,7.49,0.86,17.43,0.54,0.45,10.37,2.28,0.14,0.57,0.1,0.01,0.11,1
45,5,6,6,5,1,1,2,5,9,9,7.5,1.2,1.2,1.2,0.1667,0.2,1,0.2,0.4,0.3333,1,0.8333,3.2,1.6,0.6,1.75,1.25,1,1.44,4.98,0.0488,0.6,0.82,3.9,5.52,0.95,32.15,0.85,1,6,1.73,0.22,0.76,0.15,0,0.15,1
68,8,11,8,8,1,1,2,6,8.5,8.5,8.5,1,1.375,1,0.125,0.125,1,0.125,0.25,0.25,0.75,0.75,2.75,1.38,0.88,1.91,1.18,1,1.45,4.52,0,0.57,0.71,4.12,5.82,0.92,22.2,0.77,0.83,8.33,2.04,0.26,0.73,0.1,0.03,0.13,1
33,5,7,5,5,0,0,1,1,6.6,6.6,6.6,1,1.4,1,0,0,1,0,0.2,0.2,0.2,0.2,1.8,1.2,0.2,1.78,1.83,1,1.48,4.15,0,0.58,0.82,3.32,4.7,0.94,26.46,0.84,0.62,3.12,1.25,0.26,1,0,0,0,1
86,9,15,11,8,4,3,2,11,9.5556,10.75,7.8182,1.2222,1.875,1.375,0.3636,0.5,0.8889,0.375,0.25,0.1818,1.375,1,2.78,1.56,0.56,2.16,1.57,1,1.53,4.63,0,0.63,0.73,4.8,6.79,0.93,27.69,0.78,0.81,10.56,2.3,0.24,0.7,0.11,0.07,0.19,1
188,19,24,21,19,2,2,11,25,9.8947,9.8947,8.9524,1.1053,1.2632,1.1053,0.0952,0.1053,1,0.1053,0.5789,0.5238,1.3158,1.1905,3.63,1.47,0.79,1.93,1.43,1,1.42,4.55,0.0353,0.69,0.55,5.31,7.51,0.89,19.79,0.6,0.73,16.13,2.84,0.17,0.59,0.1,0.01,0.11,1
35,3,4,3,3,1,1,1,4,11.6667,11.6667,11.6667,1,1.3333,1,0.3333,0.3333,1,0.3333,0.3333,0.3333,1.3333,1.3333,4,1.33,2,1.92,1,1,1.39,4.24,0,0.51,0.83,3.47,4.9,0.95,29.19,0.94,1,4,1.41,0.22,0.92,0.11,0,0.11,1
93,10,15,11,10,1,1,4,6,9.3,9.3,8.4545,1.1,1.5,1.1,0.0909,0.1,1,0.1,0.4,0.3636,0.6,0.5455,3.1,1.4,0.8,1.65,1.5,1,1.74,4.91,0.0575,0.62,0.73,4.99,7.05,0.93,28.5,0.78,0.69,7.56,1.94,0.19,0.78,0.09,0,0.09,1
190,25,24,20,22,1,1,5,20,7.6,8.6364,9.5,0.8,1.0909,0.9091,0.05,0.0455,0.88,0.0455,0.2273,0.25,0.9091,1,2.84,1.08,1.32,1.55,1.11,1,1.34,4.57,0.0663,0.55,0.51,5.05,7.14,0.87,17.98,0.59,0.64,10.24,2.26,0.15,0.55,0.07,0.02,0.09,1
81,9,12,9,8,2,1,2,7,9,10.125,9,1,1.5,1.125,0.2222,0.25,0.8889,0.125,0.25,0.2222,0.875,0.7778,2.55,0.91,0.45,2,1.4,1,1.53,4.76,0.0541,0.73,0.8,5.11,7.22,0.95,38.11,0.88,0.86,10.29,2.27,0.2,0.87,0.07,0.03,0.1,1
92,11,16,13,11,2,2,1,6,8.3636,8.3636,7.0769,1.1818,1.4545,1.1818,0.1538,0.1818,1,0.1818,0.0909,0.0769,0.5455,0.4615,2.91,1.27,0.64,1.91,1.64,1.14,1.47,4.31,0,0.51,0.63,4.28,6.05,0.9,19.25,0.74,0.67,8,2,0.26,0.76,0.06,0.02,0.09,1
197,25,35,29,27,2,3,4,19,7.88,7.2963,6.7931,1.16,1.2963,1.0741,0.069,0.0741,1.08,0.1111,0.1481,0.1379,0.7037,0.6552,2.68,1.32,0.64,1.73,1.27,1,1.44,4.77,0,0.63,0.59,5.86,8.29,0.9,22.91,0.66,0.68,15.56,2.79,0.18,0.59,0.1,0.02,0.11,1
361,33,52,42,33,11,10,5,43,10.9394,10.9394,8.5952,1.2727,1.5758,1.2727,0.2619,0.3333,1,0.303,0.1515,0.119,1.303,1.0238,3.53,1.66,0.91,2.04,1.49,1,1.33,4.18,0.0184,0.58,0.51,6.88,9.74,0.89,22.53,0.62,0.66,24.9,3.53,0.18,0.63,0.1,0.03,0.12,1
97,10,18,13,10,4,3,2,5,9.7,9.7,7.4615,1.3,1.8,1.3,0.3077,0.4,1,0.3,0.2,0.1538,0.5,0.3846,3.6,1.9,0.9,1.67,1.37,1,1.39,4.57,0,0.61,0.71,4.95,7.01,0.93,26.68,0.85,0.83,15.7,2.8,0.32,0.84,0.08,0,0.08,1
89,10,9,8,9,0,0,1,11,8.9,9.8889,11.125,0.8,1,0.8889,0,0,0.9,0,0.1111,0.125,1.2222,1.375,2.8,1.1,0.6,1.96,1.09,1,1.41,4.58,0,0.63,0.57,3.82,5.41,0.88,15.71,0.59,0.5,3,1.22,0.11,0.58,0.07,0.02,0.09,1
70,9,9,8,9,0,0,4,7,7.7778,7.7778,8.75,0.8889,1,0.8889,0,0,1,0,0.4444,0.5,0.7778,0.875,2.56,1.11,0.89,1.7,1.2,1,1.8,5.08,0.0625,0.63,0.64,3.8,5.38,0.9,17.74,0.75,0.8,6.4,1.79,0.18,0.72,0.05,0,0.05,1
115,10,14,13,10,3,3,2,15,11.5,11.5,8.8462,1.3,1.4,1.3,0.2308,0.3,1,0.3,0.2,0.1538,1.5,1.1538,3.6,1.5,1.4,2,1.73,1,1.42,4.5,0.0841,0.58,0.63,4.75,6.71,0.9,20.88,0.75,0.7,11.13,2.36,0.24,0.72,0.1,0.01,0.12,1
160,18,21,18,17,1,1,3,15,8.8889,9.4118,8.8889,1,1.2353,1.0588,0.0556,0.0588,0.9444,0.0588,0.1765,0.1667,0.8824,0.8333,2.33,1.17,0.56,2.62,1.62,1,1.51,4.65,0.0147,0.61,0.65,5.85,8.28,0.92,26.23,0.74,0.72,12.96,2.55,0.18,0.74,0.12,0,0.12,1
256,27,38,31,27,4,4,4,20,9.4815,9.4815,8.2581,1.1481,1.4074,1.1481,0.129,0.1481,1,0.1481,0.1481,0.129,0.7407,0.6452,2.89,1.22,1.11,1.97,1.58,1,1.27,4.14,0.0086,0.62,0.47,5.3,7.5,0.86,17.62,0.57,0.62,16.1,2.84,0.16,0.51,0.09,0.03,0.12,1
241,26,38,28,25,5,5,9,23,9.2692,9.64,8.6071,1.0769,1.52,1.12,0.1786,0.2,0.9615,0.2,0.36,0.3214,0.92,0.8214,3.2,1.4,0.96,1.82,1.54,1,1.36,4.17,0.0144,0.58,0.59,6.42,9.08,0.9,24.37,0.7,0.71,25,3.54,0.25,0.72,0.06,0.01,0.07,1
115,9,15,12,9,4,3,3,11,12.7778,12.7778,9.5833,1.3333,1.6667,1.3333,0.3333,0.4444,1,0.3333,0.3333,0.25,1.2222,0.9167,4.78,2.11,1.11,1.53,1.47,1,1.66,4.81,0.0189,0.63,0.67,5.08,7.18,0.92,24.38,0.73,0.88,13.24,2.57,0.21,0.66,0.04,0.03,0.07,1
96,9,14,12,9,2,2,3,10,10.6667,10.6667,8,1.3333,1.5556,1.3333,0.1667,0.2222,1,0.2222,0.3333,0.25,1.1111,0.8333,4,1.88,1,1.72,1.47,1,1.68,4.9,0.046,0.6,0.67,4.62,6.53,0.91,22.31,0.76,0.65,7.12,1.89,0.19,0.82,0.05,0,0.05,1
10,1,1,1,1,0,0,1,1,10,10,10,1,1,1,0,0,1,0,1,1,1,1,2,1,1,2,1,1,2,5.7,0,0.7,1,2.24,3.16,1,0,1,1,1,0.71,0.14,1,0,0,0,1
99,9,11,10,9,1,1,1,10,11,11,9.9,1.1111,1.2222,1.1111,0.1,0.1111,1,0.1111,0.1111,0.1,1.1111,1,3.11,1.11,1.22,2.11,1.9,1,1.42,4.41,0.0227,0.56,0.64,4.48,6.33,0.9,20.29,0.73,0.86,10.29,2.27,0.22,0.71,0.04,0.02,0.05,1
155,14,29,21,14,4,4,4,12,11.0714,11.0714,7.381,1.5,2.0714,1.5,0.1905,0.2857,1,0.2857,0.2857,0.1905,0.8571,0.5714,4.31,2.23,1,1.8,1.55,1,1.41,4.39,0.0069,0.68,0.64,5.62,7.95,0.91,24.64,0.7,0.7,16.03,2.83,0.22,0.68,0.09,0.01,0.1,1
123,12,27,20,12,9,6,3,11,10.25,10.25,6.15,1.6667,2.25,1.6667,0.45,0.75,1,0.5,0.25,0.15,0.9167,0.55,3.58,2.08,0.75,1.49,1.52,1,1.36,4.22,0,0.49,0.66,5.25,7.42,0.92,24.73,0.8,0.92,20.17,3.18,0.36,0.71,0.1,0.02,0.11,1
236,21,31,25,21,5,4,9,33,11.2381,11.2381,9.44,1.1905,1.4762,1.1905,0.2,0.2381,1,0.1905,0.4286,0.36,1.5714,1.32,4.1,1.75,1.55,1.85,1.29,1,1.62,5.04,0.0138,0.66,0.56,6.08,8.59,0.89,22.31,0.66,0.62,14.3,2.67,0.15,0.7,0.12,0.01,0.12,1
173,16,26,20,16,4,3,3,18,10.8125,10.8125,8.65,1.25,1.625,1.25,0.2,0.25,1,0.1875,0.1875,0.15,1.125,0.9,4.4,2.2,1,1.98,1.24,1,1.55,4.89,0,0.56,0.51,4.73,6.69,0.87,17.06,0.61,0.59,7.68,1.96,0.13,0.62,0.05,0,0.05,1
62,6,10,9,6,3,2,2,3,10.3333,10.3333,6.8889,1.5,1.6667,1.5,0.3333,0.5,1,0.3333,0.3333,0.2222,0.5,0.3333,3,1.67,0.67,2.67,1,1,1.52,4.81,0,0.49,0.68,3.86,5.46,0.91,19.39,0.88,0.89,7.11,1.89,0.25,0.83,0.12,0.03,0.16,1
110,13,18,15,13,1,1,2,10,8.4615,8.4615,7.3333,1.1538,1.3846,1.1538,0.0667,0.0769,1,0.0769,0.1538,0.1333,0.7692,0.6667,3.82,1.45,0.91,1.74,1.63,1,1.5,4.42,0.0918,0.58,0.69,5.23,7.4,0.92,26.56,0.82,0.82,14.73,2.71,0.27,0.82,0.06,0.02,0.08,1
244,28,47,37,30,7,5,4,18,8.7143,8.1333,6.5946,1.3214,1.5667,1.2333,0.1892,0.2333,1.0714,0.1667,0.1333,0.1081,0.6,0.4865,3.07,1.67,0.74,1.76,1.44,1,1.31,4.12,0,0.55,0.58,6.43,9.09,0.9,24.24,0.75,0.69,23.59,3.43,0.25,0.76,0.09,0.02,0.11,1
196,20,39,23,20,5,5,7,14,9.8,9.8,8.5217,1.15,1.95,1.15,0.2174,0.25,1,0.25,0.35,0.3043,0.7,0.6087,2.95,1.57,0.67,1.65,1.91,1,1.44,4.58,0.0216,0.58,0.53,5.2,7.36,0.88,18.8,0.62,0.62,14.77,2.72,0.21,0.66,0.05,0,0.05,1
258,23,47,30,23,7,6,3,36,11.2174,11.2174,8.6,1.3043,2.0435,1.3043,0.2333,0.3043,1,0.2609,0.1304,0.1,1.5652,1.2,3.65,1.61,0.87,2.1,1.65,1,1.42,4.81,0.0958,0.61,0.47,5.37,7.6,0.87,17.88,0.54,0.63,19.61,3.13,0.2,0.47,0.09,0.02,0.11,1
219,27,35,34,27,7,6,5,20,8.1111,8.1111,6.4412,1.2593,1.2963,1.2593,0.2059,0.2593,1,0.2222,0.1852,0.1471,0.7407,0.5882,2.7,1.3,0.93,1.66,1.37,1,1.38,4.44,0,0.56,0.58,6.02,8.51,0.9,22.82,0.71,0.77,20.83,3.23,0.22,0.66,0.13,0,0.13,1
253,25,44,42,24,16,12,3,32,10.12,10.5417,6.0238,1.68,1.8333,1.75,0.381,0.6667,0.96,0.5,0.125,0.0714,1.3333,0.7619,3.88,1.58,0.83,1.72,1.58,1,1.61,4.81,0,0.61,0.59,6.62,9.37,0.9,25.12,0.67,0.71,25,3.54,0.23,0.62,0.06,0.03,0.09,1
125,14,21,15,12,3,2,3,15,8.9286,10.4167,8.3333,1.0714,1.75,1.25,0.2,0.25,0.8571,0.1667,0.25,0.2,1.25,1,3.36,1.43,1.07,1.72,1.5,1,1.37,4.37,0,0.58,0.6,4.74,6.71,0.89,19.82,0.7,0.62,9.38,2.17,0.21,0.72,0.04,0,0.04,1
325,30,50,45,32,13,9,4,41,10.8333,10.1562,7.2222,1.5,1.5625,1.4062,0.2889,0.4062,1.0667,0.2812,0.125,0.0889,1.2812,0.9111,3.97,1.77,1.2,1.84,1.47,1,1.27,4.15,0.0066,0.57,0.48,6.14,8.68,0.87,19.84,0.6,0.53,16.29,2.85,0.17,0.64,0.1,0.01,0.11,1
135,15,24,18,15,2,1,2,15,9,9,7.5,1.2,1.6,1.2,0.1111,0.1333,1,0.0667,0.1333,0.1111,1,0.8333,3.64,1.71,0.64,1.45,1.79,1,1.39,4.51,0.0317,0.61,0.58,4.83,6.83,0.89,19.54,0.64,0.62,11.17,2.36,0.21,0.62,0.04,0.02,0.06,1
145,10,18,15,10,4,4,2,17,14.5,14.5,9.6667,1.5,1.8,1.5,0.2667,0.4,1,0.4,0.2,0.1333,1.7,1.1333,4.9,2.2,1.7,1.98,1.41,1,1.53,4.66,0.0365,0.62,0.63,5.4,7.64,0.91,23.64,0.71,0.9,16.2,2.85,0.2,0.62,0.1,0.03,0.13,1
80,8,12,10,8,2,2,5,8,10,10,8,1.25,1.5,1.25,0.2,0.25,1,0.25,0.625,0.5,1,0.8,3.63,1.75,0.38,1.62,1.86,1,1.49,4.82,0,0.55,0.7,4.55,6.44,0.92,24.13,0.83,1,14,2.65,0.3,0.71,0.07,0.02,0.09,1
258,31,43,35,32,6,6,10,27,8.3226,8.0625,7.3714,1.129,1.3438,1.0938,0.1714,0.1875,1.0323,0.1875,0.3125,0.2857,0.8438,0.7714,2.43,1.37,0.63,1.93,1.54,1,1.45,4.24,0,0.59,0.51,5.77,8.16,0.88,19.76,0.61,0.43,8.7,2.09,0.13,0.65,0.11,0.02,0.13,1
146,21,26,21,21,2,2,3,11,6.9524,6.9524,6.9524,1,1.2381,1,0.0952,0.0952,1,0.0952,0.1429,0.1429,0.5238,0.5238,2.52,1,0.95,1.77,1.1,1,1.5,4.88,0.0462,0.59,0.57,4.86,6.87,0.89,19.1,0.65,0.59,9.48,2.18,0.19,0.63,0.07,0.01,0.08,1
68,8,9,7,8,0,0,1,7,8.5,8.5,9.7143,0.875,1.125,0.875,0,0,1,0,0.125,0.1429,0.875,1,2.13,1.13,0.5,2.24,1.56,1,1.57,4.94,0,0.63,0.68,3.94,5.58,0.91,19.78,0.72,0.6,3.6,1.34,0.14,0.76,0.12,0.02,0.14,1
42,5,8,7,5,2,2,1,8,8.4,8.4,6,1.4,1.6,1.4,0.2857,0.4,1,0.4,0.2,0.1429,1.6,1.1429,2.8,1.6,0.6,1.86,1.38,1,1.75,5.25,0.2,0.67,0.83,3.82,5.4,0.95,33.28,0.86,0.86,5.14,1.6,0.21,0.89,0.07,0.04,0.11,1
254,22,33,24,20,3,2,4,23,11.5455,12.7,10.5833,1.0909,1.65,1.2,0.125,0.15,0.9091,0.1,0.2,0.1667,1.15,0.9583,4,1.55,1.35,1.93,2.06,1,1.49,4.49,0.0487,0.55,0.54,6.05,8.56,0.89,21.36,0.66,0.84,26.95,3.67,0.23,0.57,0.07,0.01,0.08,1
87,8,15,11,9,2,1,2,7,10.875,9.6667,7.9091,1.375,1.6667,1.2222,0.1818,0.2222,1.125,0.1111,0.2222,0.1818,0.7778,0.6364,3.75,2,0.88,1.83,1.88,1,1.53,4.88,0,0.62,0.67,4.4,6.22,0.91,21.36,0.74,0.77,15.38,2.77,0.37,0.68,0.04,0.02,0.06,1
107,13,13,13,13,1,1,2,6,8.2308,8.2308,8.2308,1,1,1,0.0769,0.0769,1,0.0769,0.1538,0.1538,0.4615,0.4615,2.77,1.15,0.92,1.81,1.33,1,1.47,4.69,0,0.53,0.6,4.37,6.19,0.89,18.45,0.75,0.79,8.64,2.08,0.19,0.74,0.04,0.02,0.05,1
133,15,22,20,15,4,4,1,16,8.8667,8.8667,6.65,1.3333,1.4667,1.3333,0.2,0.2667,1,0.2667,0.0667,0.05,1.0667,0.8,3.21,1.29,0.93,1.82,1.83,1,1.49,4.5,0,0.62,0.68,5.62,7.95,0.92,27.14,0.74,0.72,15.21,2.76,0.25,0.71,0.11,0.05,0.15,1
192,18,31,28,18,10,10,3,21,10.6667,10.6667,6.8571,1.5556,1.7222,1.5556,0.3571,0.5556,1,0.5556,0.1667,0.1071,1.1667,0.75,3.68,1.58,1.05,1.84,1.47,1,1.34,4.23,0.011,0.59,0.57,5.56,7.87,0.89,21.2,0.68,0.68,18.23,3.02,0.24,0.67,0.08,0.01,0.09,1
38,4,7,4,4,1,1,1,6,9.5,9.5,9.5,1,1.75,1,0.25,0.25,1,0.25,0.25,0.25,1.5,1.5,3.25,1.75,1.25,1.77,1.43,1,1.49,4.46,0,0.61,0.79,3.44,4.87,0.94,24.31,0.96,1,6,1.73,0.26,0.93,0.04,0.04,0.09,1
125,17,25,20,17,3,3,3,8,7.3529,7.3529,6.25,1.1765,1.4706,1.1765,0.15,0.1765,1,0.1765,0.1765,0.15,0.4706,0.4,2.5,1.56,0.44,1.38,1.48,1,1.28,4.34,0.0374,0.61,0.54,4.24,5.99,0.87,16.24,0.63,0.58,8.17,2.02,0.18,0.68,0.05,0.04,0.09,1
261,23,36,31,22,9,7,8,26,11.3478,11.8636,8.4194,1.3478,1.6364,1.4091,0.2903,0.4091,0.9565,0.3182,0.3636,0.2581,1.1818,0.8387,3.95,1.73,0.95,1.95,1.63,1,1.53,4.57,0,0.58,0.46,5.21,7.37,0.86,17.12,0.56,0.7,19.6,3.13,0.19,0.49,0.05,0.01,0.06,1
43,5,6,4,5,0,0,2,4,8.6,8.6,10.75,0.8,1.2,0.8,0,0,1,0,0.4,0.5,0.8,1,2.8,1.4,0.8,1.79,1.43,1,1.66,5.15,0.1951,0.58,0.84,3.88,5.49,0.95,34.58,0.88,1,4,1.41,0.16,0.84,0.04,0.04,0.08,1
158,13,20,19,12,6,3,1,21,12.1538,13.1667,8.3158,1.4615,1.6667,1.5833,0.3158,0.5,0.9231,0.25,0.0833,0.0526,1.75,1.1053,4.42,2.08,1.17,2.26,1.32,1,1.54,4.47,0.034,0.61,0.56,5.01,7.08,0.89,19.39,0.65,0.69,12.46,2.5,0.19,0.67,0.08,0.05,0.13,1
105,10,19,15,10,4,4,2,13,10.5,10.5,7,1.5,1.9,1.5,0.2667,0.4,1,0.4,0.2,0.1333,1.3,0.8667,4.6,2.4,0.9,1.37,1.46,1,1.58,5.05,0.0816,0.61,0.83,6.08,8.6,0.96,51.48,0.91,0.9,17.19,2.93,0.29,0.89,0.11,0.02,0.12,1
80,8,11,11,9,1,1,5,9,10,8.8889,7.2727,1.375,1.2222,1.2222,0.0909,0.1111,1.125,0.1111,0.5556,0.4545,1,0.8182,3.38,1.5,1.13,1.52,1.33,1,1.55,4.51,0,0.6,0.72,4.59,6.48,0.93,25.93,0.88,0.85,9.31,2.16,0.23,0.86,0.1,0.02,0.12,1
30,3,4,3,3,0,0,1,3,10,10,10,1,1.3333,1,0,0,1,0,0.3333,0.3333,1,1,3,1.33,1,1.67,2,1,1.57,4.73,0,0.6,1,3.87,5.48,1,0,1,1,5,1.58,0.28,1,0.06,0,0.06,1
